figure	panel	plotted_items	frozen_source_tables	plotting_script	plotted_values_dump	recovered_assets	reproduction_class	status	logged_value_rows
Fig5	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/fig5.py	n/a	output/figures/Fig5.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
Fig5	D	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/fig5.py	n/a	output/figures/Fig5.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
Fig6	A	effect_rho	C3_PRIMARY_RESULTS.tsv	temp/f21_scripts/fig6_adonly.py	temp/f21_plotted_values/Fig6_values.tsv	output/figures/Fig6.tif; output/figures/Fig6.png; output/figures/Fig6.pdf	REPRODUCED_FROM_PLOTTING_SCRIPT (fig6_adonly.py on frozen tables; panels A-D per FINAL legend)	RECOVERED_FROM_FROZEN_TABLES	1288
Fig6	B	effect_rho	C3_PRIMARY_RESULTS.tsv	temp/f21_scripts/fig6_adonly.py	temp/f21_plotted_values/Fig6_values.tsv	output/figures/Fig6.tif; output/figures/Fig6.png; output/figures/Fig6.pdf	REPRODUCED_FROM_PLOTTING_SCRIPT (fig6_adonly.py on frozen tables; panels A-D per FINAL legend)	RECOVERED_FROM_FROZEN_TABLES	1288
Fig6	C	same_direction	C3_ROBUSTNESS.tsv	temp/f21_scripts/fig6_adonly.py	temp/f21_plotted_values/Fig6_values.tsv	output/figures/Fig6.tif; output/figures/Fig6.png; output/figures/Fig6.pdf	REPRODUCED_FROM_PLOTTING_SCRIPT (fig6_adonly.py on frozen tables; panels A-D per FINAL legend)	RECOVERED_FROM_FROZEN_TABLES	667
Fig6	D	dir_match	C3_ROBUSTNESS.tsv	temp/f21_scripts/fig6_adonly.py	temp/f21_plotted_values/Fig6_values.tsv	output/figures/Fig6.tif; output/figures/Fig6.png; output/figures/Fig6.pdf	REPRODUCED_FROM_PLOTTING_SCRIPT (fig6_adonly.py on frozen tables; panels A-D per FINAL legend)	RECOVERED_FROM_FROZEN_TABLES	437
Fig6	E (EXCLUDED)	layout panel not present in FINAL legend	see final legend	temp/f21_scripts/fig6.py (superseded layout)	n/a	not exported (absent from FINAL legend)	EXCLUDED_FROM_ASSET (layout surplus; FINAL legend enumerates A-D only)	EXCLUDED_NOT_IN_LEGEND	0
FigS1	AB	cells/malignant	see plotted-values dump	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS1_values.tsv	output/figures/supplementary/FigS1.tif; output/figures/supplementary/FigS1.png; output/figures/supplementary/FigS1.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	855
FigS1	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS1.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS2	AB	delta	C2_couturier_layerA_state_tests_all.tsv; C2_ss2_state_tests_unified.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS2_values.tsv	output/figures/supplementary/FigS2.tif; output/figures/supplementary/FigS2.png; output/figures/supplementary/FigS2.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	90
FigS2	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS2.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS3	ABC	delta	see plotted-values dump	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS3_values.tsv	output/figures/supplementary/FigS3.tif; output/figures/supplementary/FigS3.png; output/figures/supplementary/FigS3.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	750
FigS4	AB	delta	see plotted-values dump	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS4_values.tsv	output/figures/supplementary/FigS4.tif; output/figures/supplementary/FigS4.png; output/figures/supplementary/FigS4.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	15
FigS4	C	loo_flips_top	ss2_lopo.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS4_values.tsv	output/figures/supplementary/FigS4.tif; output/figures/supplementary/FigS4.png; output/figures/supplementary/FigS4.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	15
FigS5	A	delta	C2_couturier_layerA_alt_state_tests.tsv; C2_couturier_layerA_state_tests_all.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS5_values.tsv	output/figures/supplementary/FigS5.tif; output/figures/supplementary/FigS5.png; output/figures/supplementary/FigS5.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	1050
FigS5	B	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS5.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS5	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS5.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS6	A	cells/patients	C2_LAYERB_STATE_TESTS.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS6_values.tsv	output/figures/supplementary/FigS6.tif; output/figures/supplementary/FigS6.png; output/figures/supplementary/FigS6.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	75
FigS6	B	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS6.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS6	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS6.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS7	A	obs/null	ss2_cellnull_ALL.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS7_values.tsv	output/figures/supplementary/FigS7.tif; output/figures/supplementary/FigS7.png; output/figures/supplementary/FigS7.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	210
FigS7	B	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS7.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS7	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS7.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS8	A	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS8.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS8	B	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS8.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS8	C	loo_flips_top	ss2_lopo.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS8_values.tsv	output/figures/supplementary/FigS8.tif; output/figures/supplementary/FigS8.png; output/figures/supplementary/FigS8.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	120
FigS9	A	rho	C3_PRIMARY_RESULTS.tsv; C3_ROBUSTNESS.tsv	temp/f21_scripts/figS.py	temp/f21_plotted_values/FigS9_values.tsv	output/figures/supplementary/FigS9.tif; output/figures/supplementary/FigS9.png; output/figures/supplementary/FigS9.pdf	REDRAWN_FROM_FROZEN_TABLE (new plotting script reading frozen tables only; no re-analysis)	RECOVERED_FROM_FROZEN_TABLES	420
FigS9	B	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS9.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
FigS9	C	no numeric value logged (schematic/caption/annotation panel)	see final legend	temp/f21_scripts/figS.py	n/a	output/figures/supplementary/FigS9.tif	REDRAWN_FROM_FROZEN_TABLE (layout panel; no statistical value plotted)	RECOVERED_FROM_FROZEN_TABLES	0
