block	cohort	module_a	module_b	effect_rho	CI95_low	CI95_high	P	FDR_BH	expected_sign	direction_match	min_pair_set_coverage	n	grade	note
Q1_architecture	TCGA	C4_DOWN	M_RIGI_typeI_IFN	0.0600537919615479	-0.0559158528888716	0.1744246185006805	0.3098049737395038	0.3212792320261521			0.974	288	A	
Q1_architecture	TCGA	M_shared_antiproliferative	M_shared_ER_UPR	0.4677323583665892	0.3722765564070712	0.5533965903046442	4.6265048054922986e-17	1.4393570505976042e-16	1.0	True	1.0	288	A	
Q1_architecture	TCGA	M_shared_antiproliferative	M_cholesterol_SREBP	0.2180900337179348	0.1051592755872163	0.3254674443845718	0.0001914706278542	0.0002436898899963	-1.0	False	1.0	288	A	
Q1_architecture	TCGA	M_shared_antiproliferative	M_TNF_NFkB	-0.1492556132926628	-0.2603458637194027	-0.034265202038106	0.0112076254621045	0.0125525405175571	-1.0	True	1.0	288	A	
Q1_architecture	TCGA	M_shared_antiproliferative	M_p53_apoptosis	-0.0750520437730328	-0.1889941165977645	0.040884137810158	0.2041102705719924	0.2198110606159918	-1.0	True	1.0	288	A	
Q1_architecture	TCGA	M_shared_antiproliferative	M_RIGI_typeI_IFN	-0.1690754494050131	-0.2792008339245771	-0.054560136696869	0.0040074830946498	0.0046753969437581			0.978	288	A	
Q1_architecture	TCGA	M_shared_ER_UPR	M_cholesterol_SREBP	0.6352881898814047	0.5608915733482089	0.6995066378229937	5.902229320139047e-34	5.5087473654631086e-33	-1.0	False	1.0	288	A	
Q1_architecture	TCGA	M_shared_ER_UPR	M_TNF_NFkB	0.575655369751918	0.4928667976906933	0.6481145152755546	8.146207645463575e-27	2.851172675912252e-26	-1.0	False	1.0	288	A	
Q1_architecture	TCGA	M_shared_ER_UPR	M_p53_apoptosis	0.6242047751668819	0.5481719590425421	0.6900048395664968	1.642029159829504e-32	1.1494204118806527e-31	-1.0	False	1.0	288	A	
Q1_architecture	TCGA	M_shared_ER_UPR	M_RIGI_typeI_IFN	0.2865195576078351	0.176792765040202	0.3892118031533725	7.601899472084579e-07	1.182517695657601e-06			0.978	288	A	
Q1_architecture	TCGA	M_cholesterol_SREBP	M_TNF_NFkB	0.5880805693870088	0.5069575832477107	0.6588773772147583	3.4999446528871572e-28	1.3999778611548629e-27	1.0	True	1.0	288	A	
Q1_architecture	TCGA	M_cholesterol_SREBP	M_p53_apoptosis	0.6647542087136147	0.5948792192148579	0.7246578749885054	4.254575983783038e-38	5.9564063772962544e-37	1.0	True	1.0	288	A	
Q1_architecture	TCGA	M_cholesterol_SREBP	M_RIGI_typeI_IFN	0.4155032170687501	0.3150518989805532	0.5067484069337336	1.896486960972351e-13	5.310163490722583e-13			0.978	288	A	
Q1_architecture	TCGA	M_TNF_NFkB	M_p53_apoptosis	0.8997579663142159	0.8751924254286751	0.9196954023365138	5.283019293596162e-105	1.4792454022069257e-103	1.0	True	1.0	288	A	
Q1_architecture	TCGA	M_TNF_NFkB	M_RIGI_typeI_IFN	0.6149504278038332	0.5375783054766249	0.6820536865639167	2.386366332589993e-31	1.1136376218753299e-30			0.978	288	A	
Q1_architecture	TCGA	M_p53_apoptosis	M_RIGI_typeI_IFN	0.6233703667980823	0.5472157918252848	0.6892885831251301	2.0978789803446129e-32	1.1748122289929831e-31			0.978	288	A	
Q1_architecture	CGGA	C4_UP	C4_DOWN	0.4613260785075787	0.3575112732368559	0.5538789236971194	1.584676479958168e-14	2.6100553787546302e-14	-1.0	False	0.884	249	A	
Q1_architecture	CGGA	C4_UP	M_shared_antiproliferative	0.4909436455499416	0.3904559264501145	0.5798707320386374	1.647540906814904e-16	3.295081813629808e-16	-1.0	False	0.886	249	A	
Q1_architecture	CGGA	C4_UP	M_shared_ER_UPR	0.7682806062961524	0.7119626901100184	0.8147784314070863	9.20142717248354e-50	5.1527992165907815e-49	-1.0	False	0.886	249	A	
Q1_architecture	CGGA	C4_UP	M_cholesterol_SREBP	0.8168682471822775	0.77082879725086	0.8544189575969893	5.8869431444329204e-61	5.494480268137393e-60	1.0	True	0.886	249	A	
Q1_architecture	CGGA	C4_UP	M_TNF_NFkB	0.4596556548775748	0.3556608680721315	0.5524075982001865	2.0238617599966303e-14	3.1482294044392036e-14	1.0	True	0.886	249	A	
Q1_architecture	CGGA	C4_UP	M_p53_apoptosis	0.4692001554605518	0.3662447416469063	0.5608067119279164	4.9121408910207616e-15	8.762912540505658e-15	1.0	True	0.886	249	A	
Q1_architecture	CGGA	C4_UP	M_RIGI_typeI_IFN	0.4415258453167508	0.3356299499931727	0.5364014216139029	2.6467832453433057e-13	3.529044327124407e-13			0.868	249	A	
Q1_architecture	CGGA	C4_DOWN	M_shared_antiproliferative	0.5134131364166343	0.415622402616984	0.5994694999452742	3.793140999724059e-18	8.850662332689471e-18	1.0	True	0.884	249	A	
Q1_architecture	CGGA	C4_DOWN	M_shared_ER_UPR	0.5426575981344735	0.4486028547105633	0.6248240341657381	1.8098910676966726e-20	5.0676949895506835e-20	1.0	True	0.884	249	A	
Q1_architecture	CGGA	C4_DOWN	M_cholesterol_SREBP	0.4077745821997668	0.2985928573839552	0.5064206918712877	2.1496878643652387e-11	2.6170113131402903e-11	-1.0	False	0.884	249	A	
Q1_architecture	CGGA	C4_DOWN	M_TNF_NFkB	0.5557636999611348	0.4634668596550703	0.6361308804079772	1.3861671259151809e-21	4.312519947291674e-21	-1.0	False	0.884	249	A	
Q1_architecture	CGGA	C4_DOWN	M_p53_apoptosis	0.4690726778080062	0.3661032062473714	0.5606946563121081	5.007378594574662e-15	8.762912540505658e-15	-1.0	False	0.884	249	A	
Q1_architecture	CGGA	C4_DOWN	M_RIGI_typeI_IFN	0.4291667314418966	0.322029522607987	0.5254507277940379	1.402000269251113e-12	1.784363979046871e-12			0.868	249	A	
Q1_architecture	CGGA	M_shared_antiproliferative	M_shared_ER_UPR	0.7329335406140692	0.6696297914035872	0.7856645234853048	3.2783294233585113e-43	1.5298870642339717e-42	1.0	True	0.94	249	A	
Q1_architecture	CGGA	M_shared_antiproliferative	M_cholesterol_SREBP	0.4460085503303537	0.340573819513246	0.5403654072570988	1.421595038993223e-13	1.990233054590512e-13	-1.0	False	0.95	249	A	
Q1_architecture	CGGA	M_shared_antiproliferative	M_TNF_NFkB	0.1222953750485814	-0.002054437833809	0.2429206872719682	0.0539399161860743	0.0539399161860743	-1.0	False	0.954	249	A	
Q1_architecture	CGGA	M_shared_antiproliferative	M_p53_apoptosis	0.1956766420520792	0.07313721764249	0.3123958042084436	0.0019206663889398	0.0019918021811228	-1.0	False	0.954	249	A	
Q1_architecture	CGGA	M_shared_antiproliferative	M_RIGI_typeI_IFN	0.2006677030703459	0.0783025162350458	0.3170762671603849	0.0014576341912836	0.0015697598983055			0.868	249	A	
Q1_architecture	CGGA	M_shared_ER_UPR	M_cholesterol_SREBP	0.6863909832879908	0.6145091809627483	0.7469697709988073	5.011586858558707e-36	2.004634743423483e-35	-1.0	False	0.94	249	A	
Q1_architecture	CGGA	M_shared_ER_UPR	M_TNF_NFkB	0.537137971239798	0.4423584202678016	0.6200518266500098	5.1661841708252665e-20	1.3150286980282496e-19	-1.0	False	0.94	249	A	
Q1_architecture	CGGA	M_shared_ER_UPR	M_p53_apoptosis	0.5981453556160125	0.5118913124942648	0.672459458274819	1.4941672745756743e-25	5.22958546101486e-25	-1.0	False	0.94	249	A	
Q1_architecture	CGGA	M_shared_ER_UPR	M_RIGI_typeI_IFN	0.5088822386319471	0.4105355852667074	0.5955257628794123	8.299277452064591e-18	1.7875366819831428e-17			0.868	249	A	
Q1_architecture	CGGA	M_cholesterol_SREBP	M_TNF_NFkB	0.3677077341624563	0.2550481472305789	0.4705175875447853	2.1759937352463193e-09	2.4371129834758776e-09	1.0	True	0.95	249	A	
Q1_architecture	CGGA	M_cholesterol_SREBP	M_p53_apoptosis	0.4531239797901282	0.3484332490400808	0.5466488812901571	5.200953033988131e-14	7.664562365877247e-14	1.0	True	0.95	249	A	
Q1_architecture	CGGA	M_cholesterol_SREBP	M_RIGI_typeI_IFN	0.4067096774193548	0.2974296068871409	0.5054708560244214	2.450364132031941e-11	2.8587581540372645e-11			0.868	249	A	
Q1_architecture	CGGA	M_TNF_NFkB	M_p53_apoptosis	0.909913719393704	0.8857956146968342	0.9291298867777092	2.2455984657692492e-96	6.287675704153896e-95	1.0	True	0.962	249	A	
Q1_architecture	CGGA	M_TNF_NFkB	M_RIGI_typeI_IFN	0.7894589972794404	0.7375243153726181	0.8321105664377084	2.8183279206280856e-54	1.9728295444396602e-53			0.868	249	A	
Q1_architecture	CGGA	M_p53_apoptosis	M_RIGI_typeI_IFN	0.8199113874854255	0.7745420492196683	0.8568872604351009	9.105334979810128e-62	1.274746897173418e-60			0.868	249	A	
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	C4_UP	MES(n=15)_vs_nonMES(n=29)		-52.87626446645302	573.1760527424449	0.0199449656875908	0.0265932875834544				44	A	effect=median ssGSEA score difference (MES minus non-MES)=287.761
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	C4_DOWN	MES(n=15)_vs_nonMES(n=29)		-82.73642208234014	523.5822607635964	0.0476192857909111	0.0544220409038984				44	A	effect=median ssGSEA score difference (MES minus non-MES)=211.763
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	M_shared_antiproliferative	MES(n=15)_vs_nonMES(n=29)		-1032.767685719442	333.6944356311142	0.1979243616866265	0.1979243616866265				44	A	effect=median ssGSEA score difference (MES minus non-MES)=-479.224
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	M_shared_ER_UPR	MES(n=15)_vs_nonMES(n=29)		182.614774730926	810.8012315696687	0.0009912541582092	0.0019825083164184				44	A	effect=median ssGSEA score difference (MES minus non-MES)=428.648
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	M_cholesterol_SREBP	MES(n=15)_vs_nonMES(n=29)		115.58230769405782	780.291466523744	0.0093295847197715	0.0149273355516344				44	A	effect=median ssGSEA score difference (MES minus non-MES)=413.935
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	M_TNF_NFkB	MES(n=15)_vs_nonMES(n=29)		1390.628970772006	2573.9215797055654	7.413847376018098e-06	2.965538950407239e-05				44	A	effect=median ssGSEA score difference (MES minus non-MES)=2024.307
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	M_p53_apoptosis	MES(n=15)_vs_nonMES(n=29)		528.8492316869233	1304.7154842425807	2.875437733834908e-06	2.300350187067926e-05				44	A	effect=median ssGSEA score difference (MES minus non-MES)=935.708
Q2_MES_vs_nonMES_context	TCGA_official_Verhaak_n44	M_RIGI_typeI_IFN	MES(n=15)_vs_nonMES(n=29)		328.25980916522894	1163.1104579007915	0.000184999213967	0.0004933312372453				44	A	effect=median ssGSEA score difference (MES minus non-MES)=790.608
Q2_state_structure	CGGA(WHO_IV)	all Grade A	MES_vs_nonMES									249	A	NOT TESTABLE: no molecular subtype annotation in CGGA WHO-IV clinical fields; Q2 computed only in TCGA official Verhaak n44 subset
